what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366457404880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457417193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457423031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366457430204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457432135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457443615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366457452314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366457463881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366457471873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457483440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457489722
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366457513816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457522184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457533689
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1366457549785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366457552128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366457556929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366457559796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457561983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457573783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366457580715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457585822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457592707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366457594640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366457594785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366457599771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457602216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366457629376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366457634580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366457634765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366457635019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366457635509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366457635708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366457635867
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366457636084
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366457636176
