what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366451597494
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366451602334
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366451627574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366451633495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451633761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451634246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451634809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451635045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1366451635332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451635880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451636500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451636711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451637177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451637359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451637594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451637800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451637997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451638682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451638951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366451639093
