what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366650909281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366650910831
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1366650936604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366650937987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366650941530
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366650955684
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366650991785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651004709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651015273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651020581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651024013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651032076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651040421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651041942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651058502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366651058527
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651063293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366651099160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366651102242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366651106323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651110846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651117831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651121684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651212419
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366651265979
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366651268054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366651269562
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366651270143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651287307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651290859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651296541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651323237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651377445
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651385132
activated,view,com.android.ide.eclipse.ddms,21.1.0.v201302060044-569685,"com.android.ide.eclipse.ddms.views.LogCatView",1366651477804
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651488683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651495546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651496443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366651514498
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366651529198
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1366651539631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366651540245
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366651544539
