what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366623843215
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366623846494
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366623850624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623850871
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623887458
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366623892845
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366623893118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623894537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623897585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366623898386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366623899174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623899642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623901123
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366623901374
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366623901695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366623909803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623911260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623912130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366623913418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366623913751
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623914904
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623919566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366623921172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623922945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623925492
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366623927145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366623927565
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366623931413
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366623932411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1366623934514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366623934922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366623941296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366623941593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623948773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623960193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366623961818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366624033342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366624047549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366624050089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366624058190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366624060086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366624069024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366624077787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1366624084584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366624089827
