what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366450021810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450023642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450024008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366450024945
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366450027788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366450029107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366450030571
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366450034392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450037144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450063244
started,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1366450065693
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366450065748
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366450073530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450073656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450076529
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450078340
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450078549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450079094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450080192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450088096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450120660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450121768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450122182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450122330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450124291
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1366450127735
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366450132846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450133641
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450135142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450135313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450429107
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450432916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450459424
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366450473267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366450474708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450476974
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450491472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450502783
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450510635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450511448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450511697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450511913
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450520048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366450521465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366450527869
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366450530034
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366450538207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450546231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450547224
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366450549215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450552567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366450560643
