what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366387657560
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366387671913
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366387672479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366387672642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366387672811
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366387673988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366387682904
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366387709966
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366387710005
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366387710032
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366387715212
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366387715292
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366387715311
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366387720461
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1366387722003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387722016
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387723775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366387758206
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366387762210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1366387762725
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366387764250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1366387764881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366387768049
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366387774067
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366387785220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366387786265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366387795046
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366387799547
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366387801895
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366387805479
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366387813514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387817479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387846037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387846495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387846645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366387848398
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366387849477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1366387850908
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366387852694
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366387867046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387882386
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.override.methods",1366387884262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387884289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387890338
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1366387895492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387895510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1366387900231
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366387904990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366387905250
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1366387905257
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366387905986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1366387907315
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366387907595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366387909498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366387910475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387923688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387926422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387926822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387926967
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387927902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387930106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387936014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387937371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387937596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387941051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387941254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387942043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387948195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387950502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387950703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387951232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387951432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387951630
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387951810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387952288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366387953909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1366387954553
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366387954884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366387958296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387964214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387974797
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366387981583
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387988515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387991357
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366387993253
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366388006583
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366388007698
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366388047975
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366388085155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366388085406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366388085589
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366388097437
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366388097545
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366388097607
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366388097627
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366388098439
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1366388098472
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366388101421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366388106688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366388107519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366388112544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366388113593
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366388114760
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1366388114760
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366388116832
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366388117490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366388117671
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366388117767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366388117901
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366388118005
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366388118326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366388118493
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1366388118615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366388121333
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366388130568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1366388130988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1366388133303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366388168173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366388198290
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366388198636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1366388198800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1366388205527
